# k  Ps  Pt
4.567769184098983488e-05 2.744620172078314566e-09 9.834799915948250622e-12
4.809133230512957784e-05 2.739699835026706094e-09 9.834564857162401852e-12
5.063251118146433070e-05 2.734783882358402620e-09 9.834329186085393619e-12
5.330796768688529690e-05 2.729872249723594390e-09 9.834092670937442658e-12
5.612479714311131238e-05 2.724965267565070381e-09 9.833856517564508085e-12
5.909046979351187081e-05 2.720062818035897648e-09 9.833620294886580316e-12
6.221285061422272822e-05 2.715164666425951386e-09 9.833383143670622011e-12
6.550022017209562242e-05 2.710270791561191729e-09 9.833144987079876153e-12
6.896129658479569619e-05 2.705381681834106390e-09 9.832907621194514188e-12
7.260525864128559439e-05 2.700496779034343623e-09 9.832668960320399031e-12
7.644177014401176424e-05 2.695616267918072397e-09 9.832429724103850964e-12
8.048100553734836176e-05 2.690740412838731374e-09 9.832190862495351173e-12
8.473367689026647031e-05 2.685868678372737071e-09 9.831950412098797370e-12
8.921106230478434830e-05 2.681001763429874765e-09 9.831710949444765173e-12
9.392503582554124315e-05 2.676138960406657854e-09 9.831469850572024702e-12
9.888809892981277984e-05 2.671280745503152679e-09 9.831228873832398276e-12
1.041134136814802634e-04 2.666427128129792300e-09 9.830988069773327626e-12
1.096148376368789645e-04 2.661577702216314145e-09 9.830745916169971321e-12
1.154069605950942308e-04 2.656732610429410995e-09 9.830502950666860502e-12
1.215051432901692770e-04 2.651892281862021871e-09 9.830260762978980989e-12
1.279255581278358105e-04 2.647056286122999065e-09 9.830017757684804013e-12
1.346852320748001617e-04 2.642224647351122663e-09 9.829774023170019131e-12
1.418020918143299649e-04 2.637397453506083635e-09 9.829529842051393631e-12
1.492950112878920345e-04 2.632574637618030576e-09 9.829285049492257299e-12
1.571838617489237141e-04 2.627756387801255372e-09 9.829040268963987993e-12
1.654895644614782916e-04 2.622942515897396022e-09 9.828794836647628478e-12
1.742341461835049702e-04 2.618132976683260488e-09 9.828548565052619732e-12
1.834407975819009069e-04 2.613328086219853755e-09 9.828302651909561742e-12
1.931339347342563961e-04 2.608527385879999115e-09 9.828055358644006877e-12
2.033392638803935824e-04 2.603731475076360473e-09 9.827808971017029343e-12
2.140838495954204134e-04 2.598939685635002842e-09 9.827560916732665728e-12
2.253961865650967809e-04 2.594152393613714983e-09 9.827312658357102231e-12
2.373062751538574159e-04 2.589369715828150270e-09 9.827064621682623836e-12
2.498457009659043031e-04 2.584591225851180475e-09 9.826815171844326125e-12
2.630477186103579368e-04 2.579817248556254512e-09 9.826565570384723631e-12
2.769473398926194647e-04 2.575047821261920193e-09 9.826315951247546047e-12
2.915814266658225311e-04 2.570282685897420455e-09 9.826065319650649718e-12
3.069887885886218208e-04 2.565522018253970155e-09 9.825814353727352378e-12
3.232102860485661718e-04 2.560765931035574193e-09 9.825563486507897004e-12
3.402889385240167003e-04 2.556013937198518268e-09 9.825310817353972100e-12
3.582700386719818463e-04 2.551266747442123266e-09 9.825059138640760873e-12
3.772012724444295611e-04 2.546523789638860120e-09 9.824806177204162723e-12
3.971328455516302510e-04 2.541785377784570710e-09 9.824553202666051184e-12
4.181176166079075504e-04 2.537051322508362061e-09 9.824299427411591078e-12
4.402112373129034089e-04 2.532321757299506950e-09 9.824045424416637045e-12
4.634723000401132350e-04 2.527596493076086709e-09 9.823790396808353006e-12
4.879624932241060763e-04 2.522875843230352832e-09 9.823535611266116183e-12
5.137467649585049975e-04 2.518159643612269990e-09 9.823280423290014883e-12
5.408934952386019448e-04 2.513447700459648893e-09 9.823024036782261875e-12
5.694746773053878169e-04 2.508740211966775832e-09 9.822767259226315386e-12
5.995661085719242904e-04 2.504037240952203253e-09 9.822510330335510945e-12
6.312475916383996580e-04 2.499338774789584481e-09 9.822253211470875350e-12
6.646031459289501774e-04 2.494644541953502346e-09 9.821994789757651927e-12
6.997212305115253859e-04 2.489954983272845481e-09 9.821736853178857427e-12
7.366949786916977567e-04 2.485269747788291472e-09 9.821477981727673899e-12
7.756224450025767884e-04 2.480588935373549309e-09 9.821218577201311398e-12
8.166068652458361278e-04 2.475912545633215495e-09 9.820958627197972169e-12
8.597569302734851295e-04 2.471240633618645884e-09 9.820698383536390647e-12
9.051870742364618184e-04 2.466572917104182820e-09 9.820436666016252088e-12
9.530177780644686616e-04 2.461909983266621588e-09 9.820175872423423175e-12
1.003375888981902992e-03 2.457251275376408084e-09 9.819913735729405807e-12
1.056394956907214921e-03 2.452597195875743563e-09 9.819651898535303002e-12
1.112215588627847151e-03 2.447947403056508059e-09 9.819388966486587706e-12
1.170985820690015333e-03 2.443302127425956422e-09 9.819125863271768013e-12
1.232861511992240297e-03 2.438661056534489704e-09 9.818861339655820480e-12
1.298006757123795502e-03 2.434024720193206408e-09 9.818597533414831198e-12
1.366594321544233352e-03 2.429392649195203764e-09 9.818332537958042054e-12
1.438806099758096904e-03 2.424765182397542605e-09 9.818067748167173650e-12
1.514833597699901226e-03 2.420141866686234370e-09 9.817801271593550238e-12
1.594878440608663147e-03 2.415523318671620162e-09 9.817535653942668039e-12
1.679152907738867308e-03 2.410908988355452187e-09 9.817268670056061712e-12
1.767880495325933367e-03 2.406299192383182374e-09 9.817001577812664472e-12
1.861296509299145956e-03 2.401693750335133220e-09 9.816733626741897359e-12
1.959648689313965315e-03 2.397092715987088933e-09 9.816465077820429474e-12
2.063197865758606420e-03 2.392496239390111008e-09 9.816196508679962925e-12
2.172218651477314435e-03 2.387904213956377504e-09 9.815927517789399093e-12
2.287000170044762096e-03 2.383316326742398123e-09 9.815656761216375178e-12
2.407846822522962012e-03 2.378733123170567113e-09 9.815386528504867508e-12
2.535079094734153226e-03 2.374154262252851699e-09 9.815115415444538881e-12
2.669034407190510293e-03 2.369580115097445387e-09 9.814844942774119977e-12
2.810068009934756344e-03 2.365009991960316351e-09 9.814572219376347906e-12
2.958553924664728517e-03 2.360444583975116006e-09 9.814300164507838753e-12
3.114885936640478682e-03 2.355883515272288811e-09 9.814027182625773545e-12
3.279478639004407281e-03 2.351326978450589564e-09 9.813754101377803612e-12
3.452768532283990478e-03 2.346774745200216685e-09 9.813479935573152908e-12
3.635215181992997296e-03 2.342226906981060605e-09 9.813205069319504286e-12
3.827302437401109130e-03 2.337683440730747232e-09 9.812929409269711413e-12
4.029539714704212863e-03 2.333144685519581254e-09 9.812654396282715266e-12
4.242463347998234532e-03 2.328610292308872161e-09 9.812378548809701043e-12
4.466638011639391045e-03 2.324080227097114375e-09 9.812101729151390434e-12
4.702658217762916391e-03 2.319554623750704720e-09 9.811824461191355681e-12
4.951149892931718324e-03 2.315033365913428269e-09 9.811546295690475055e-12
5.212772038096184259e-03 2.310516589012819401e-09 9.811267792431969074e-12
5.488218476267439985e-03 2.306004209361531583e-09 9.810988597587154524e-12
5.778219692538866768e-03 2.301496560929230653e-09 9.810710133069728465e-12
6.083544771335551611e-03 2.296993191863582384e-09 9.810430465423885249e-12
6.405003436029390804e-03 2.292494176701390473e-09 9.810149889150271460e-12
6.743448196328805620e-03 2.287999722937209532e-09 9.809869342150325902e-12
7.099776609138043308e-03 2.283509470720604618e-09 9.809587222133592612e-12
7.474933658881761228e-03 2.279023766073084840e-09 9.809305058035559528e-12
7.869914263607646551e-03 2.274542552828246601e-09 9.809022596527239745e-12
8.285765913513220421e-03 2.270065735919680834e-09 9.808739410801326582e-12
8.723591448894124287e-03 2.265593282979140567e-09 9.808455368621334584e-12
9.184551984881172276e-03 2.261125404617580890e-09 9.808171385303936642e-12
