# f_hz  Omega_gw
7.061771158617029072e-20 2.359970194167567224e-23
7.469272437334473613e-20 2.464277719103087651e-23
7.900288679709954209e-20 2.714705929894693668e-23
8.356176822628655647e-20 3.379291663005925874e-23
8.838372105359555148e-20 4.269958975273176343e-23
9.348392588014196821e-20 5.144333058954417336e-23
9.887843930744272919e-20 6.111789634806740014e-23
1.045842444872383164e-19 6.784880708623845602e-23
1.106193045883068209e-19 7.373121579431922551e-23
1.170026193485938813e-19 7.863247139327665488e-23
1.237542848906956293e-19 8.294635615707936570e-23
1.308955569890109391e-19 8.628308981661077272e-23
1.384489179877409358e-19 8.868867101243585332e-23
1.464381475804056065e-19 9.034693122684263920e-23
1.548883976737144467e-19 9.145540566170108043e-23
1.638262715714712336e-19 9.204279549153816965e-23
1.732799077278089332e-19 9.224893151931892571e-23
1.832790683334253595e-19 9.221303003174052755e-23
1.938552330137092656e-19 9.205224912458350290e-23
2.050416979337398778e-19 9.180080145059301418e-23
2.168736806221673880e-19 9.151942845824300569e-23
2.293884308439800168e-19 9.121784899470210662e-23
2.426253478712112208e-19 9.090201818783784713e-23
2.566261045207858605e-19 9.057593476181129472e-23
2.714347783499977384e-19 9.024241193070278528e-23
2.870979904226571501e-19 8.990348789964160527e-23
3.036650520827738063e-19 8.956066952973301772e-23
3.211881201978501109e-19 8.921508730981907706e-23
3.397223613605312174e-19 8.886759837697779055e-23
3.593261255655494169e-19 8.851885832593566317e-23
3.800611299087402944e-19 8.817035146804805041e-23
4.019926528864596791e-19 8.782030393521670833e-23
4.251897399070947976e-19 8.747024625406480751e-23
4.497254206616673996e-19 8.712040551489248670e-23
4.756769390378670893e-19 8.677095936154435347e-23
5.031259963013274840e-19 8.642204682661673096e-23
5.321590083097380292e-19 8.607377718926664537e-23
5.628673775695669162e-19 8.572623602863821604e-23
5.953477809918795976e-19 8.537949045663244051e-23
6.297024742531791927e-19 8.503359316084793348e-23
6.660396137194711244e-19 8.468858570823801080e-23
7.044735969470316939e-19 8.434450045876518134e-23
7.451254228318581120e-19 8.400142320226492838e-23
7.881230725416397227e-19 8.365924011424780077e-23
8.336019124294980104e-19 8.331804163823662480e-23
8.817051201979639858e-19 8.297783903559897199e-23
9.325841356548672969e-19 8.263864071852408947e-23
9.863991374801865168e-19 8.230045302450613397e-23
1.043319547504867234e-18 8.196328056160965549e-23
1.103524564089177040e-18 8.162712662072208418e-23
1.167203726279772581e-18 8.129199332658109170e-23
1.234557510521616161e-18 8.095788189855536810e-23
1.305797961803289710e-18 8.062479291443228973e-23
1.381149361222705761e-18 8.029273111260426461e-23
1.460848932074878033e-18 7.996168528092243376e-23
1.545147586684652995e-18 7.963166080301071098e-23
1.634310716335609884e-18 7.930265677495973776e-23
1.728619026782021827e-18 7.897467194582688121e-23
1.828369421974229024e-18 7.864770475534261340e-23
1.933875938779606988e-18 7.832175372486137136e-23
2.045470735641858738e-18 7.799681705623789846e-23
2.163505138291123816e-18 7.767289303565638554e-23
2.288350745797051421e-18 7.734997977427313550e-23
2.420400600446960594e-18 7.702807552955284929e-23
2.560070425132099334e-18 7.670717834264740313e-23
2.707799932137581526e-18 7.638728649605134621e-23
2.864054207456402463e-18 7.606839724646374159e-23
3.029325174985620054e-18 7.575050894831400897e-23
3.204133145214338026e-18 7.543361963516626730e-23
3.389028453279163406e-18 7.511772717783097745e-23
3.584593191543993289e-18 7.480282954302070739e-23
3.791443042158812467e-18 7.448892462840565828e-23
4.010229215366760261e-18 7.417601041262485798e-23
4.241640499661621903e-18 7.386408490092757597e-23
4.486405430250265252e-18 7.355314610592019524e-23
4.745294582646689141e-18 7.324319196271190654e-23
5.019122998618490459e-18 7.293422023150539422e-23
5.308752752123230847e-18 7.262622888406353788e-23
5.615095663312757320e-18 7.231921580896109237e-23
5.939116169149822632e-18 7.201317894243667518e-23
6.281834359674411633e-18 7.170811617151511658e-23
6.644329189478530616e-18 7.140402541413494977e-23
7.027741874499937823e-18 7.110090467513891125e-23
7.433279484828796890e-18 7.079875192651059146e-23
7.862218744838052592e-18 7.049756508304817868e-23
8.315910052601294767e-18 7.019734201920283963e-23
8.795781731252216650e-18 6.989808073872089195e-23
9.303344525669753667e-18 6.959977921008846599e-23
9.840196358645567857e-18 6.930243532182880643e-23
1.040802736150746707e-17 6.900604696194041727e-23
1.100862519503610152e-17 6.871061215218878083e-23
1.164388067742656075e-17 6.841612886307597676e-23
1.231579373701285036e-17 6.812259505247596047e-23
1.302647970849593183e-17 6.783000862429890381e-23
1.377817599249708592e-17 6.753836735354854017e-23
1.457324909940246559e-17 6.724766939144599306e-23
1.541420209967460740e-17 6.695791266153213122e-23
1.630368250408588101e-17 6.666909518083314938e-23
1.724449059868282015e-17 6.638121481870096678e-23
1.823958826072179486e-17 6.609426954113851720e-23
1.929210828333030405e-17 6.580825739813286871e-23
2.040536423825027599e-17 6.552317623546884224e-23
2.158286090771336435e-17 6.523902397145657999e-23
2.282830531829041420e-17 6.495579865274351183e-23
2.414561841145178995e-17 6.467349836085429062e-23
2.553894738758033186e-17 6.439212108918749832e-23
2.701267876229886105e-17 6.411166477841039212e-23
2.857145217621618775e-17 6.383212731938244119e-23
3.022017500156788598e-17 6.355350674150760770e-23
3.196403779173727926e-17 6.327580096111966345e-23
3.380853062229462069e-17 6.299900813165382261e-23
3.575946037499999439e-17 6.272312623172896507e-23
3.782296901918435558e-17 6.244815317218556595e-23
4.000555294806178530e-17 6.217408688271150659e-23
4.231408343084880127e-17 6.190092542457043117e-23
4.475582824507811270e-17 6.162866696303301871e-23
