# k  Ps  Pt
2.769306490122926318e-04 2.529245253924175704e-09 9.337624194114988344e-12
2.915638720565051330e-04 2.524642125205771450e-09 9.337393499195976871e-12
3.069703255734926957e-04 2.520043526642724244e-09 9.337163575588975430e-12
3.231908676409471536e-04 2.515448942867703111e-09 9.336932484093077824e-12
3.402685153080084110e-04 2.510858682116248607e-09 9.336701387303419783e-12
3.582485586769317866e-04 2.506272587694810204e-09 9.336469711578891510e-12
3.771786810129191658e-04 2.501690672721284999e-09 9.336237458810589442e-12
3.971090852006435058e-04 2.497112993601138815e-09 9.336004885677648204e-12
4.180926268828292916e-04 2.492539525349951177e-09 9.335771873348751794e-12
4.401849546339753165e-04 2.487970354529012532e-09 9.335538770035304900e-12
4.634446575409637112e-04 2.483405307728969221e-09 9.335304893807458572e-12
4.879334205819392490e-04 2.478844416986053221e-09 9.335070377889492473e-12
5.137161882155215093e-04 2.474287785452062581e-09 9.334835605016693421e-12
5.408613366141970307e-04 2.469735206411540945e-09 9.334599777322868664e-12
5.694408549986535242e-04 2.465187236742014278e-09 9.334365051367753956e-12
5.995305365539538561e-04 2.460643229620117727e-09 9.334128933205728326e-12
6.312101794338605609e-04 2.456103373808828555e-09 9.333892129763045250e-12
6.645637983863908124e-04 2.451567888801890459e-09 9.333655508264468393e-12
6.996798475618125433e-04 2.447036576432543235e-09 9.333418285166886442e-12
7.366514550939862096e-04 2.442509517231317310e-09 9.333180816959075909e-12
7.755766700771615525e-04 2.437986616648188070e-09 9.332942679534355260e-12
8.165587225932156206e-04 2.433467913230126095e-09 9.332704042468664635e-12
8.597062974789169455e-04 2.428953301089375970e-09 9.332464489395505139e-12
9.051338225592644310e-04 2.424443070958105293e-09 9.332225151194891614e-12
9.529617721112917852e-04 2.419936872133441628e-09 9.331984671107688156e-12
1.003316986363122446e-03 2.415435038980012185e-09 9.331744337064944254e-12
1.056333007875595153e-03 2.410937416202480432e-09 9.331503555489510223e-12
1.112150435698547888e-03 2.406444105588621931e-09 9.331262709198710781e-12
1.170917298240991200e-03 2.401954967680268313e-09 9.331021273390379923e-12
1.232789445844005355e-03 2.397469838986625689e-09 9.330778572860514649e-12
1.297930964097498974e-03 2.392989029910072280e-09 9.330535849350875640e-12
1.366514608996930238e-03 2.388512637660474558e-09 9.330293488314884595e-12
1.438722265094033665e-03 2.384040124683752317e-09 9.330049337814092590e-12
1.514745427856565999e-03 2.379571913503992819e-09 9.329805107516960806e-12
1.594785711516327449e-03 2.375108150037306994e-09 9.329561353812493673e-12
1.679055383752229690e-03 2.370648408963270165e-09 9.329316368431291308e-12
1.767777928626421526e-03 2.366192833453297974e-09 9.329070753571924192e-12
1.861188639266389772e-03 2.361741665308451130e-09 9.328825454319023950e-12
1.959535241864827741e-03 2.357294528446127934e-09 9.328578974214076267e-12
2.063078552652107545e-03 2.352851667336624003e-09 9.328332281480507126e-12
2.172093169583686877e-03 2.348412984623934039e-09 9.328084992236966124e-12
2.286868200576796985e-03 2.343978574188762432e-09 9.327837478533875239e-12
2.407708030227691601e-03 2.339548366557649654e-09 9.327589477374338282e-12
2.534933127042812966e-03 2.335122258650814896e-09 9.327340540689275656e-12
2.668880893324664019e-03 2.330700395403050400e-09 9.327091254542755874e-12
2.809906559966290386e-03 2.326282933055957539e-09 9.326842271225988829e-12
2.958384128527354658e-03 2.321869402588167674e-09 9.326591686062748553e-12
3.114707363090230604e-03 2.317460381255361987e-09 9.326341828374390276e-12
3.279290834526525818e-03 2.313055368108635116e-09 9.326090674146948469e-12
3.452571019943410837e-03 2.308654631816763696e-09 9.325839305148338784e-12
3.635007460225517847e-03 2.304258066880002474e-09 9.325587294168012070e-12
3.827083978742232013e-03 2.299865752146637221e-09 9.325334961559490641e-12
4.029309964452399903e-03 2.295477797551050050e-09 9.325082761379446196e-12
4.242221722809210067e-03 2.291093693462335156e-09 9.324828590747240427e-12
4.466383898047941552e-03 2.286714221216017164e-09 9.324575671951188931e-12
4.702390970628462889e-03 2.282338734553325416e-09 9.324321341344742314e-12
4.950868833803663029e-03 2.277967441803193676e-09 9.324066440886385577e-12
5.212476453495022526e-03 2.273600292613282278e-09 9.323810772591962605e-12
5.487907615877164573e-03 2.269237433026576769e-09 9.323554939720798002e-12
5.777892767306172343e-03 2.264878956809669077e-09 9.323299331496830497e-12
6.083200951471010899e-03 2.260524553711210513e-09 9.323042657856060768e-12
6.404641848905544797e-03 2.256174290756260999e-09 9.322785217021918290e-12
6.743067924269894285e-03 2.251828433079385286e-09 9.322528058152479209e-12
7.099376687095689496e-03 2.247486593356324595e-09 9.322269600181000478e-12
7.474513071990891884e-03 2.243148974340075449e-09 9.322010687542815656e-12
7.869471944616325543e-03 2.238815718868274946e-09 9.321751929887377907e-12
8.285300740079947629e-03 2.234486584096604818e-09 9.321492279843537697e-12
8.723102240745867625e-03 2.230161645243317935e-09 9.321232048702670837e-12
9.184037500824774811e-03 2.225840948868705744e-09 9.320971456224857272e-12
9.669328925502060010e-03 2.221524424450770438e-09 9.320710211269719791e-12
1.018026351276923869e-02 2.217212147565250013e-09 9.320448602363373284e-12
1.071819626655625204e-02 2.212903974936296034e-09 9.320186025490273968e-12
1.128455379021626841e-02 2.208600228951649071e-09 9.319923875156322949e-12
1.188083806989278374e-02 2.204300582360581177e-09 9.319660726857411759e-12
1.250863045780285267e-02 2.200004993257953776e-09 9.319396397963924401e-12
1.316959586599979887e-02 2.195713913768486708e-09 9.319132857572203708e-12
1.386548718173769706e-02 2.191426951793412364e-09 9.318868386421821500e-12
