# k  Ps  Pt
1.054356299867137241e-02 2.184696077243756056e-09 8.332526366428118523e-12
1.115198447881310916e-02 2.180235917177416903e-09 8.332295080183471907e-12
1.179551521922525895e-02 2.175780150360692265e-09 8.332062818150509487e-12
1.247618121701176731e-02 2.171329105620764961e-09 8.331830844231031309e-12
1.319612538043427562e-02 2.166882514153331428e-09 8.331598108951829646e-12
1.395761427532791685e-02 2.162440300041718774e-09 8.331364329548207591e-12
1.476304526082234184e-02 2.158002877641326951e-09 8.331131106466867831e-12
1.561495403683297624e-02 2.153569935525909293e-09 8.330897239782939322e-12
1.651602262708396288e-02 2.149141300894711519e-09 8.330662034686664964e-12
1.746908782279542327e-02 2.144717366867259069e-09 8.330427023074097732e-12
1.847715011361784204e-02 2.140297998810627112e-09 8.330191705454198983e-12
1.954338313393035736e-02 2.135883039260213674e-09 8.329955428828889369e-12
2.067114365424228134e-02 2.131472499186997525e-09 8.329718252082230871e-12
2.186398214915347832e-02 2.127066622384927158e-09 8.329481131938998852e-12
2.312565397514406221e-02 2.122665362004154897e-09 8.329243879224428326e-12
2.446013119338386055e-02 2.118268483954065828e-09 8.329005577039330334e-12
2.587161507478289921e-02 2.113876238675955098e-09 8.328767201097282004e-12
2.736454932665204412e-02 2.109488341407373335e-09 8.328527619827193018e-12
2.894363408261463669e-02 2.105105311248754842e-09 8.328288915770015433e-12
3.061384069981269718e-02 2.100726371542445967e-09 8.328047960709193431e-12
3.238042740999319546e-02 2.096352315231843193e-09 8.327807945665592838e-12
3.424895587374806455e-02 2.091982606284505995e-09 8.327566715353570304e-12
3.622530869002475035e-02 2.087617530268283451e-09 8.327325412887219479e-12
3.831570791603155363e-02 2.083256904018887555e-09 8.327083303242612608e-12
4.052673465584317319e-02 2.078900884994085286e-09 8.326841015717710235e-12
4.286534977937652563e-02 2.074549358431382331e-09 8.326598093769162875e-12
4.533891583696521288e-02 2.070202219788770032e-09 8.326354096872742622e-12
4.795522023852515775e-02 2.065859692762585346e-09 8.326109928928217225e-12
5.072249977028531198e-02 2.061521789340636594e-09 8.325865653236809292e-12
5.364946652626853552e-02 2.057188314978815126e-09 8.325620469228043235e-12
5.674533533616136355e-02 2.052859300813710872e-09 8.325374502249048216e-12
6.001985277592226248e-02 2.048534903616010192e-09 8.325128391366850823e-12
6.348332785246120491e-02 2.044215083208670201e-09 8.324881968461914249e-12
6.714666445899400427e-02 2.039899629597176445e-09 8.324634369661512786e-12
7.102139570324887685e-02 2.035588895991258234e-09 8.324387047688446351e-12
7.511972021659873988e-02 2.031282683885160203e-09 8.324139196086411474e-12
7.945454055842970931e-02 2.026980950811351537e-09 8.323890602477774622e-12
8.403950383665294288e-02 2.022683659631757862e-09 8.323641141073079876e-12
8.888904467224302552e-02 2.018390956177109352e-09 8.323391408304694370e-12
9.401843064306589226e-02 2.014102753489225617e-09 8.323141038198626131e-12
