# f_hz  Omega_gw
6.280525513554096069e-18 6.742971058818760517e-23
6.642946322298361311e-18 6.715878744434267124e-23
7.026280801774055828e-18 6.688867969969649880e-23
7.431735785620173871e-18 6.661938559372229531e-23
7.860587748403458579e-18 6.635090354621024599e-23
8.314186824282302847e-18 6.608323211004770597e-23
8.793961057569685408e-18 6.581636952388427257e-23
9.301420898576900111e-18 6.555031416779069413e-23
9.838163958892152792e-18 6.528506445332526298e-23
1.040588004106481538e-17 6.502061894134938247e-23
1.100635645853012830e-17 6.475697590845267048e-23
1.164148366252277421e-17 6.449413365652009028e-23
1.231326119369422073e-17 6.423209058183456146e-23
1.302380397717106139e-17 6.397084505710822596e-23
1.377534898087282412e-17 6.371039543564207591e-23
1.457026225805130443e-17 6.345074005759160892e-23
1.541104639622301091e-17 6.319187736402303479e-23
1.630034839594594137e-17 6.293380576166667897e-23
1.724096800424506660e-17 6.267652368010694561e-23
1.823586652892225269e-17 6.242002955124888809e-23
1.928817616150019412e-17 6.216432180157240648e-23
2.040120983815138971e-17 6.190939881678797713e-23
2.157847166965695958e-17 6.165525893290247245e-23
2.282366797323134250e-17 6.140190062011588338e-23
2.414071894094378156e-17 6.114932217508222332e-23
2.553377098147180741e-17 6.089752189873599784e-23
2.700720977404172719e-17 6.064649823228003271e-23
2.856567407565318683e-17 6.039624966050650605e-23
3.021407032505633221e-17 6.014677461847760222e-23
3.195758808945857058e-17 5.989807146568357321e-23
3.380171640259127653e-17 5.965013862796840018e-23
3.575226104557271887e-17 5.940297457926250538e-23
3.781536282497144757e-17 5.915657769643667116e-23
3.999751690561436672e-17 5.891094640596414431e-23
4.230559325900406288e-17 5.866607910820690382e-23
4.474685829172223186e-17 5.842197436626947837e-23
4.732899772191042941e-17 5.817863054764574364e-23
5.006014077584948238e-17 5.793604609343489381e-23
5.294888578081451155e-17 5.769421937395247293e-23
5.600432723477826592e-17 5.745314873373113165e-23
5.923608443818478020e-17 5.721283264730869366e-23
6.265433177793355133e-17 5.697326949237129947e-23
6.626983075891611118e-17 5.673445774093366820e-23
7.009396388394822158e-17 5.649639570731848075e-23
7.413877048875989540e-17 5.625908190080314523e-23
7.841698464486109513e-17 5.602251474147914957e-23
8.294207524961116439e-17 5.578669272522447702e-23
8.772828842970547266e-17 5.555161432475459413e-23
9.279069239157582504e-17 5.531727806179006919e-23
9.814522485990503244e-17 5.508368238998136676e-23
1.038087432536047360e-16 5.485082566741870159e-23
1.097990777572227639e-16 5.461870630583116534e-23
1.161350874548616470e-16 5.438732273943868888e-23
1.228367197033323291e-16 5.415667341489557058e-23
1.299250729314654485e-16 5.392675670448861150e-23
1.374224630632877297e-16 5.369757108518913200e-23
1.453524937741798735e-16 5.346911516911245184e-23
1.537401308012005246e-16 5.324138743670937818e-23
1.626117805415243350e-16 5.301438623939435226e-23
1.719953731864418655e-16 5.278810989309716739e-23
1.819204506526469848e-16 5.256255699068320669e-23
1.924182595876421869e-16 5.233772607481548123e-23
2.035218497420674702e-16 5.211361561101102404e-23
2.152661780186525946e-16 5.189022402682291452e-23
2.276882185253645931e-16 5.166754977580443325e-23
2.408270789792260126e-16 5.144559137648360575e-23
2.547241238272736318e-16 5.122434721763930718e-23
2.694231044722725459e-16 5.100381567985413137e-23
2.849702970131679717e-16 5.078399526847397502e-23
3.014146479339177750e-16 5.056488458088467884e-23
3.188079281993710707e-16 5.034648206799550161e-23
3.372048962433259830e-16 5.012878613544495198e-23
3.566634703618912002e-16 4.991179522589208750e-23
3.772449110548921621e-16 4.969550786772288207e-23
3.990140138893778344e-16 4.947992258938291889e-23
4.220393134924116965e-16 4.926503783996371928e-23
4.463932993153652114e-16 4.905085212382666228e-23
4.721526438489956418e-16 4.883736399589159740e-23
4.993984440077881808e-16 4.862457186473163731e-23
5.282164764435015411e-16 4.841247418904711744e-23
5.586974675917037481e-16 4.820106942104816325e-23
5.909373793014763615e-16 4.799035614453082518e-23
6.250377109475232310e-16 4.778033295291433229e-23
6.611058189758069689e-16 4.757099831724211623e-23
6.992552548887208287e-16 4.736235077236261327e-23
7.396061227338602903e-16 4.715438874658850139e-23
7.822854572218624030e-16 4.694711077968083699e-23
8.274276236637251926e-16 4.674051532805987258e-23
8.751747409866918516e-16 4.653460089114339283e-23
9.256771291604896987e-16 4.632936594005297623e-23
9.790937824425121654e-16 4.612480900016025301e-23
1.035592869931845778e-15 4.592092863154610411e-23
1.095352265008023629e-15 4.571772335710864341e-23
1.158560105321281961e-15 4.551519164010035521e-23
1.225415385097345578e-15 4.531333193792392907e-23
1.296128581621456732e-15 4.511214280135280511e-23
1.370922317873947853e-15 4.491162273794022334e-23
1.450032063403550079e-15 4.471177026633047741e-23
1.533706875644929484e-15 4.451258386433238627e-23
1.622210184014312335e-15 4.431406209719008990e-23
