#f_hz Omega_gw
3.535557886624819393e-18 7.335026818416703005e-23
3.722379347098277308e-18 7.307120309759405662e-23
3.919072589964404478e-18 7.279293652371877797e-23
4.126159247413422069e-18 7.251546674623470050e-23
4.344188515061398279e-18 7.223879253469238368e-23
4.573738608421788781e-18 7.196291215672266206e-23
4.815418296338002879e-18 7.168782418992399195e-23
5.069868515443675783e-18 7.141352705712837356e-23
5.337764069932187283e-18 7.114001923956363931e-23
5.619815421143255335e-18 7.086729936429365903e-23
5.916770571712587475e-18 7.059536579917500719e-23
6.229417049281352868e-18 7.032421696371222388e-23
6.558583995026369133e-18 7.005385153490845778e-23
6.905144362549696502e-18 6.978426778327804284e-23
7.270017232959147176e-18 6.951546433969828188e-23
7.654170252279458224e-18 6.924743966655738286e-23
8.058622197657853984e-18 6.898019212400636669e-23
8.484445679169987865e-18 6.871372033338743148e-23
8.932769984391145113e-18 6.844802276212108826e-23
9.404784073276718963e-18 6.818309790875216431e-23
9.901739731294351973e-18 6.791894433650058658e-23
1.042495488916989000e-17 6.765556048106892523e-23
1.097581711805108154e-17 6.739294488783626504e-23
1.155578730935839680e-17 6.713109599671808912e-23
1.216640354908171840e-17 6.687001229115478064e-23
1.280928519679778609e-17 6.660969226460664833e-23
1.348613718022587861e-17 6.635013442240433098e-23
1.419875451671090293e-17 6.609133732156368443e-23
1.494902707362506339e-17 6.583329953442122911e-23
1.573894458031252912e-17 6.557601955114449073e-23
1.657060190486896392e-17 6.531949585094857327e-23
1.744620460974991653e-17 6.506372695990054115e-23
1.836807480094166336e-17 6.480871131891986721e-23
1.933865728620639197e-17 6.455444742329504780e-23
2.036052605873375588e-17 6.430093387868890260e-23
2.143639112339311817e-17 6.404816915756435498e-23
2.256910568369004350e-17 6.379615169010076205e-23
2.376167370848680863e-17 6.354488022504822846e-23
2.501725789855396270e-17 6.329435313736162184e-23
2.633918807408016087e-17 6.304456906020442869e-23
2.773097000538442925e-17 6.279552652338908532e-23
2.919629471024941135e-17 6.254722399415239649e-23
3.073904824253263289e-17 6.229966000583157706e-23
3.236332199801517613e-17 6.205283317251243976e-23
3.407342356481882640e-17 6.180674173531923260e-23
3.587388814716712129e-17 6.156138447702411112e-23
3.776949059278658850e-17 6.131675975661415698e-23
3.976525805584429960e-17 6.107286618657756851e-23
4.186648332900444807e-17 6.082970228658710879e-23
4.407873887996051874e-17 6.058726667034117109e-23
4.640789162966810658e-17 6.034555786043070674e-23
4.886011851147013495e-17 6.010457456127396697e-23
5.144192285237801833e-17 5.986431509110440840e-23
5.416015161995129643e-17 5.962477811572903092e-23
5.702201358051517703e-17 5.938596212632768425e-23
6.003509841687153911e-17 5.914786566410529624e-23
6.320739685620349903e-17 5.891048723957581275e-23
6.654732186155369887e-17 5.867382543746022195e-23
7.006373094307526685e-17 5.843787878120582278e-23
7.376594964822573711e-17 5.820264584044640377e-23
7.766379629320006495e-17 5.796812505708284625e-23
8.176760800119054366e-17 5.773431505436087336e-23
8.608826811652714170e-17 5.750121442697322711e-23
9.063723506740169025e-17 5.726882170988542889e-23
9.542657275371883608e-17 5.703713556106029901e-23
1.004689825406635185e-16 5.680615449565123620e-23
1.057778369428318172e-16 5.657587700849527642e-23
1.113672150882561623e-16 5.634630182105063704e-23
1.172519400563747642e-16 5.611742738967956584e-23
1.234476181889677932e-16 5.588925221706005753e-23
1.299706804783111130e-16 5.566177497492945750e-23
1.368384261423107078e-16 5.543499419017372657e-23
1.440690685021789888e-16 5.520890851730987618e-23
1.516817832843211892e-16 5.498351654618715316e-23
1.596967594745278474e-16 5.475881674914418410e-23
1.681352528593416470e-16 5.453480776522586519e-23
1.770196423965873910e-16 5.431148801093729812e-23
1.863734895645630754e-16 5.408885610330573513e-23
1.962216008472849983e-16 5.386691076530567549e-23
2.065900935214993916e-16 5.364565047200525543e-23
2.175064649199265049e-16 5.342507398481356055e-23
2.289996653544273997e-16 5.320517987351323224e-23
2.411001748924818391e-16 5.298596654891855719e-23
2.538400841905923580e-16 5.276743269152094004e-23
2.672531795989847512e-16 5.254957692459033088e-23
2.813750327633014134e-16 5.233239768903859709e-23
2.962430949609166680e-16 5.211589364364472235e-23
3.118967964220486255e-16 5.190006336743317868e-23
3.283776508990730591e-16 5.168490554670865460e-23
3.457293657613555591e-16 5.147041877134964326e-23
3.639979579075754600e-16 5.125660166795369589e-23
3.832318758029396810e-16 5.104345277375008328e-23
4.034821279649361409e-16 5.083097073072019817e-23
4.248024182383638763e-16 5.061915404489426305e-23
4.472492882183968419e-16 5.040800133960127896e-23
4.708822671993860706e-16 5.019751121935829360e-23
4.957640300470662595e-16 4.998768234268443588e-23
5.219605634128424291e-16 4.977851339210401036e-23
5.495413407309663118e-16 4.957000284009034353e-23
5.785795064626862840e-16 4.936214932301703829e-23
6.091520700759945900e-16 4.915495151842407396e-23
6.413401102754063939e-16 4.894840802951726367e-23
6.752289900233896404e-16 4.874251749563609427e-23
7.109085829236800421e-16 4.853727853631093327e-23
7.484735115668668586e-16 4.833268971707589748e-23
7.880233984703205216e-16 4.812874971105746100e-23
8.296631302779713947e-16 4.792545708337370968e-23
8.735031359206109531e-16 4.772281044334993920e-23
9.196596794743696503e-16 4.752080840113008891e-23
9.682551684940593665e-16 4.731944957511333049e-23
1.019418478639072731e-15 4.711873262143950409e-23
1.073285295452753100e-15 4.691865615939443329e-23
1.129998474201634011e-15 4.671921887203521548e-23
1.189708418728849700e-15 4.652041940335392647e-23
1.252573480326433131e-15 4.632225633463905804e-23
1.318760377684320394e-15 4.612472831618355909e-23
1.388444639029765269e-15 4.592783394286074518e-23
1.461811067629727770e-15 4.573157191932187407e-23
1.539054231890732015e-15 4.553594092358243017e-23
1.620378981355990266e-15 4.534093953601695837e-23
1.706000989968161507e-15 4.514656646137363008e-23
1.796147328038523683e-15 4.495282031274356642e-23
1.891057064439415071e-15 4.475969973801356753e-23
1.990981900616962507e-15 4.456720339859995032e-23
2.096186838105503230e-15 4.437532989732490537e-23
2.206950881313959400e-15 4.418407784779008865e-23
2.323567777447955704e-15 4.399344593745186166e-23
2.446346795529962858e-15 4.380343274377391614e-23
2.575613546583440076e-15 4.361403701306477858e-23
2.711710847156078226e-15 4.342525733595760949e-23
2.854999628472296817e-15 4.323709245778114317e-23
3.005859893625967515e-15 4.304954105896285500e-23
3.164691725351930809e-15 4.286260173566793472e-23
3.331916347048883759e-15 4.267627324246889271e-23
3.507977239867498153e-15 4.249055419931887480e-23
3.693341318826287718e-15 4.230544327774101016e-23
3.888500171074295183e-15 4.212093914477109585e-23
4.093971359584489107e-15 4.193704035083300349e-23
4.310299795735262427e-15 4.175374560390998245e-23
4.538059184420151316e-15 4.157105365357267947e-23
4.777853545518207734e-15 4.138896314844574072e-23
5.030318815759932861e-15 4.120747280195267984e-23
5.296124535237072161e-15 4.102658125700000363e-23
5.575975623028721338e-15 4.084628717953967396e-23
5.870614246652865722e-15 4.066658929493774514e-23
6.180821790301084338e-15 4.048748618085672029e-23
6.507420927076228431e-15 4.030897655413804507e-23
