# k  Ps  Pt
4.567853801675974331e-05 2.633539731338206408e-09 9.524848737148798246e-12
4.809222230161729940e-05 2.628796370007597262e-09 9.524618911526515087e-12
5.063344726706396967e-05 2.624057305731630523e-09 9.524388674707046406e-12
5.330895224736424530e-05 2.619322538490979114e-09 9.524158025599594622e-12
5.612583268768119938e-05 2.614592068255649882e-09 9.523926963074521823e-12
5.909155896121246030e-05 2.609865895006139975e-09 9.523695486031666485e-12
6.221399618063675559e-05 2.605144018722379509e-09 9.523463593365345009e-12
6.550142505640975605e-05 2.600426439377105026e-09 9.523231283944064789e-12
6.896256385722741042e-05 2.595713156952580946e-09 9.522998556661571921e-12
7.260659153089352484e-05 2.591004171416048022e-09 9.522765410359453273e-12
7.644317204690937947e-05 2.586299482753524419e-09 9.522531843936745990e-12
8.048248002534314372e-05 2.581599090940069815e-09 9.522297856254388441e-12
8.473522771994462051e-05 2.576902995951851896e-09 9.522063446169895565e-12
8.921269342706544142e-05 2.572211197763914623e-09 9.521828612535072818e-12
9.392675139572715488e-05 2.567523696348143781e-09 9.521593354184886390e-12
9.888990331815532416e-05 2.562840491689543826e-09 9.521357669997918478e-12
1.041153114842954710e-04 2.558161583764786197e-09 9.521121558818172866e-12
1.096168336882349855e-04 2.553486972548531871e-09 9.520885019481313679e-12
1.154090599791040325e-04 2.548816658019565319e-09 9.520648050828540042e-12
1.215073513539187655e-04 2.544150640141748674e-09 9.520410651648924162e-12
1.279278804949788044e-04 2.539488918905408059e-09 9.520172820819006132e-12
1.346876746598571484e-04 2.534831494282153809e-09 9.519934557144469627e-12
1.418046608377254562e-04 2.530178366254415366e-09 9.519695859467552595e-12
1.492977132917685363e-04 2.525529534787654631e-09 9.519456726562467072e-12
1.571867036137725745e-04 2.520884999866658512e-09 9.519217157272358965e-12
1.654925534236314057e-04 2.516244761456794612e-09 9.518977150362688676e-12
1.742372898535278361e-04 2.511608819551019486e-09 9.518736704696121637e-12
1.834441039639386414e-04 2.506977174107002581e-09 9.518495819002756277e-12
1.931374122463770540e-04 2.502349825116833568e-09 9.518254492134717937e-12
2.033429213759841271e-04 2.497726772544302617e-09 9.518012722835974863e-12
2.140876963856871377e-04 2.493108016375420862e-09 9.517770509926999813e-12
2.254002324427276398e-04 2.488493556586734011e-09 9.517527852189152180e-12
2.373105304179091014e-04 2.483883393143793714e-09 9.517284748360249670e-12
2.498501764479715511e-04 2.479277526021766767e-09 9.517041197209080792e-12
