#f_hz Omega_gw
9.213539971270888431e-19 9.198346254495110493e-23
9.754481209254924297e-19 9.145323853952234193e-23
1.032718194726435030e-18 9.092520579244177668e-23
1.093350683486007812e-18 9.039939412345000821e-23
1.157542999807397765e-18 8.987580257274085274e-23
1.225504146694265631e-18 8.935442916158736625e-23
1.297455398041135268e-18 8.883527837984230787e-23
1.373631019076469988e-18 8.831833051549115066e-23
1.454279029104040183e-18 8.780359071578493750e-23
1.539662009026061202e-18 8.729105445913594721e-23
1.630057956277227354e-18 8.678071691101873880e-23
1.725761189953295470e-18 8.627257533378887766e-23
1.827083309081124453e-18 8.576661939623923185e-23
1.934354207150280375e-18 8.526284649844753094e-23
2.047923146209341045e-18 8.476125104979901220e-23
2.168159894024069720e-18 8.426182738831976429e-23
2.295455927999913820e-18 8.376456979728054964e-23
2.430225709788657493e-18 8.326947305703229837e-23
2.572908034729214956e-18 8.277653003953207970e-23
2.723967460516183943e-18 8.228573558130544181e-23
2.883895819747752727e-18 8.179708377119239660e-23
3.053213821277638300e-18 8.131056869565332046e-23
3.232472745584887409e-18 8.082618460472673962e-23
3.422256239681470233e-18 8.034392515005429645e-23
3.623182217401681937e-18 7.986378459699633371e-23
3.835904871260492189e-18 7.938575698708094365e-23
4.061116802431220032e-18 7.890983636447662570e-23
4.299551275777500083e-18 7.843601682531508901e-23
4.551984607281689607e-18 7.796429229457537171e-23
4.819238691642869468e-18 7.749465690310812564e-23
5.102183678274133686e-18 7.702710471654869279e-23
5.401740804411694863e-18 7.656162980625968225e-23
5.718885394560392080e-18 7.609822623309821603e-23
6.054650036041129195e-18 7.563688808166928200e-23
6.410127940979811073e-18 7.517760939321691421e-23
6.786476505683681937e-18 7.472038427209333592e-23
7.184921078994383202e-18 7.426520680116338018e-23
7.606758951886644835e-18 7.381207105338482541e-23
8.053363581302718854e-18 7.336097118058881700e-23
8.526189061974560647e-18 7.291190129302154216e-23
9.026774860793662158e-18 7.246485551867086555e-23
9.556750829143130171e-18 7.201982798909499258e-23
1.011784250951150264e-17 7.157681284833647817e-23
1.071187675366615342e-17 7.113580424423957879e-23
1.134078767067834730e-17 7.069679632847525522e-23
1.200662292416610328e-17 7.025978325945183760e-23
1.271155039925794929e-17 6.982475920200021634e-23
1.345786526098448623e-17 6.939171833061420980e-23
1.424799742707905422e-17 6.896065482359496850e-23
1.508451947951817169e-17 6.853156287991469938e-23
1.597015504056075059e-17 6.810443669208793710e-23
1.690778764055761621e-17 6.767927047100178163e-23
1.790047010640387658e-17 6.725605843046574118e-23
1.895143450120190513e-17 6.683479479264451446e-23
2.006410264749739152e-17 6.641547378310808978e-23
2.124209726835088971e-17 6.599808963956290564e-23
2.248925378251900823e-17 6.558263660689667185e-23
2.380963279214897589e-17 6.516910893710066936e-23
2.520753330364516126e-17 6.475750089418853585e-23
2.668750672475319555e-17 6.434780674291724459e-23
2.825437168343462488e-17 6.394002076007043964e-23
2.991322971678069842e-17 6.353413723008842980e-23
3.166948188104671694e-17 6.313015044457619720e-23
3.352884633688714079e-17 6.272805471481887391e-23
3.549737696704732402e-17 6.232784434960714595e-23
3.758148308712871373e-17 6.192951366604610020e-23
3.978795031360377140e-17 6.153305698150495713e-23
4.212396265702439869e-17 6.113846862708470954e-23
4.459712591235682097e-17 6.074574293767898874e-23
4.721549242259969608e-17 6.035487425751943561e-23
4.998758729631233292e-17 5.996585694014804120e-23
5.292243616441485730e-17 5.957868535090216534e-23
5.602959456663322866e-17 5.919335386219364552e-23
5.931917906326801320e-17 5.880985685278426915e-23
6.280190017358347593e-17 5.842818871238482474e-23
6.648909724806053025e-17 5.804834382755569364e-23
7.039277538805398073e-17 5.767031659772401854e-23
7.452564453306003681e-17 5.729410142798008600e-23
7.890116084285797653e-17 5.691969274231363968e-23
8.353357050926170188e-17 5.654708496677233770e-23
8.843795614012721798e-17 5.617627253337748889e-23
9.363028586663715757e-17 5.580724988654633088e-23
9.912746533375035561e-17 5.544001147130106948e-23
1.049473927430912577e-16 5.507455174110616988e-23
1.111090171274930760e-16 5.471086515915002162e-23
