# k  Ps  Pt
1.508861211961727289e-01 1.955357054126203593e-09 1.656643568925293806e-11
1.597448796591489362e-01 1.948750851777861130e-09 1.656537018086737407e-11
1.691237495868722629e-01 1.942155143487477115e-09 1.656430117683043547e-11
1.790532675310382293e-01 1.935569920435770970e-09 1.656322856825987295e-11
1.895657628917073734e-01 1.928995172827343916e-09 1.656215223773851008e-11
2.006954631782175424e-01 1.922430917772647365e-09 1.656107229607453438e-11
2.124786054501262567e-01 1.915877151847727232e-09 1.655998868068476286e-11
2.249535543010244831e-01 1.909333880268382863e-09 1.655890140215313301e-11
2.381609267693633736e-01 1.902801082487876736e-09 1.655781024573986783e-11
2.521437245829893925e-01 1.896278799074372095e-09 1.655671553027442549e-11
2.669474741679614960e-01 1.889767006638205536e-09 1.655561701614472255e-11
2.826203748775036328e-01 1.883265708829673818e-09 1.655451469931225970e-11
2.992134559237085156e-01 1.876774909590898882e-09 1.655340857868378204e-11
3.167807425229464124e-01 1.870294612856343393e-09 1.655229865154154567e-11
3.353794317959278293e-01 1.863824830204671874e-09 1.655118498535324802e-11
3.550700789951328762e-01 1.857365538378798536e-09 1.655006733686175671e-11
3.759167946659413562e-01 1.850916763119574674e-09 1.654894589769024933e-11
3.979874533833997474e-01 1.844478488768517408e-09 1.654782049032115233e-11
4.213539147442473265e-01 1.838050724802070465e-09 1.654669116265983924e-11
4.460922573337275376e-01 1.831633484541996429e-09 1.654555799684682798e-11
4.722830264289545332e-01 1.825226749245681293e-09 1.654442078575101055e-11
5.000114962453259260e-01 1.818830528012084912e-09 1.654327957328764154e-11
5.293679475798381828e-01 1.812444825124377861e-09 1.654213435923378285e-11
5.604479617552579063e-01 1.806069640676720593e-09 1.654098510674445123e-11
5.933527318222292513e-01 1.799704990405413624e-09 1.653983191907528101e-11
6.281893920325219982e-01 1.793350856524993899e-09 1.653867459497086070e-11
6.650713666561843818e-01 1.787007251773495052e-09 1.653751321229279016e-11
7.041187392782725096e-01 1.780674170567885732e-09 1.653634767800194607e-11
7.454586437775861940e-01 1.774351618118266634e-09 1.653517800229704208e-11
7.892256782603497278e-01 1.768039599538650667e-09 1.653400418980648976e-11
8.355623432966067243e-01 1.761738115045646243e-09 1.653282620334956749e-11
8.846195058861282545e-01 1.755447164418133507e-09 1.653164399934611929e-11
9.365568906645069802e-01 1.749166752689001907e-09 1.653045758423259906e-11
9.915435999486951202e-01 1.742896877072958131e-09 1.652926688946491799e-11
1.049758664315253665e+00 1.736637543757493693e-09 1.652807193117165692e-11
1.111391625503874048e+00 1.730388754288874682e-09 1.652687268249939893e-11
1.176643153544103315e+00 1.724150514723438579e-09 1.652566915927068095e-11
1.245725700114503454e+00 1.717922813236287386e-09 1.652446120332164224e-11
1.318864190261577640e+00 1.711705670099169879e-09 1.652324896809867434e-11
1.396296754730549594e+00 1.705499071125657515e-09 1.652203227253990602e-11
1.478275505292463210e+00 1.699303033211067543e-09 1.652081123590723310e-11
1.565067355591892584e+00 1.693117543990906411e-09 1.651958569566759775e-11
1.656954890187946505e+00 1.686942611991018784e-09 1.651835568849864716e-11
1.754237284617967463e+00 1.680778246475597154e-09 1.651712126109822302e-11
1.857231279479651720e+00 1.674624434809249215e-09 1.651588224478249789e-11
1.966272211702989381e+00 1.668481177769705894e-09 1.651463859975376069e-11
2.081715106369837809e+00 1.662348500808241993e-09 1.651339053320144860e-11
2.203935832635857128e+00 1.656226386794944192e-09 1.651213782935084271e-11
2.333332327518482963e+00 1.650114840745378089e-09 1.651088049031375775e-11
2.470325891535318341e+00 1.644013862819828539e-09 1.650961847183714893e-11
2.615362560411549353e+00 1.637923461459715466e-09 1.650835181180527761e-11
2.768914557322349701e+00 1.631843644361899460e-09 1.650708053902701568e-11
2.931481830398749100e+00 1.625774391789156484e-09 1.650580440768568840e-11
3.103593680502859886e+00 1.619715726081995615e-09 1.650452359459026959e-11
3.285810484572252221e+00 1.613667634664284181e-09 1.650323792362384801e-11
3.478725520144651195e+00 1.607630135985868639e-09 1.650194753416391735e-11
3.682966897003199680e+00 1.601603217475595321e-09 1.650065224814441867e-11
3.899199602231733675e+00 1.595586890028861851e-09 1.649935212823195095e-11
4.128127665338304553e+00 1.589581155885415452e-09 1.649804714706456212e-11
4.370496450496592189e+00 1.583586004853956503e-09 1.649673714947977106e-11
4.627095083368238271e+00 1.577601458407604013e-09 1.649542230621334629e-11
4.898759020407826625e+00 1.571627497462320422e-09 1.649410236806573839e-11
5.186372769015600070e+00 1.565664149132175691e-09 1.649277756728517495e-11
5.490872767394725074e+00 1.559711390627276052e-09 1.649144761257537300e-11
5.813250433489282720e+00 1.553769241246724786e-09 1.649011265479646314e-11
6.154555392930313396e+00 1.547837698831069917e-09 1.648877261836017692e-11
6.515898896499408899e+00 1.541916755173654271e-09 1.648742736326996646e-11
6.898457438237088013e+00 1.536006426367766357e-09 1.648607700667936051e-11
7.303476585975726465e+00 1.530106713238766161e-09 1.648472150404216278e-11
7.732275036769245879e+00 1.524217605750657014e-09 1.648336069255800361e-11
8.186248910423143954e+00 1.518339118993742395e-09 1.648199468158003073e-11
8.666876295104575689e+00 1.512471257847990249e-09 1.648062346679928909e-11
9.175722059832017052e+00 1.506614017261197703e-09 1.647924693996047088e-11
9.714442949513934167e+00 1.500767382464017697e-09 1.647786488163431831e-11
1.028479297912479140e+01 1.494931388457274569e-09 1.647647761948298232e-11
1.088862914458182196e+01 1.489106013618720223e-09 1.647508485893708763e-11
1.152791746891591274e+01 1.483291274312098349e-09 1.647368672166477908e-11
1.220473940342291641e+01 1.477487164296947887e-09 1.647228308295272072e-11
1.292129860463613156e+01 1.471693688388278705e-09 1.647087393598582643e-11
1.367992810918574165e+01 1.465910854421973985e-09 1.646945931165179251e-11
1.448309792990499112e+01 1.460138655278318763e-09 1.646803906861425175e-11
1.533342309791597557e+01 1.454377094512567158e-09 1.646661318872058342e-11
1.623367217687835407e+01 1.448626175695603900e-09 1.646518165099132878e-11
1.718677627712311207e+01 1.442885910476584812e-09 1.646374452768170306e-11
1.819583859902013501e+01 1.437156291006301864e-09 1.646230166687704317e-11
1.926414453665135795e+01 1.431437316596447522e-09 1.646085300072712588e-11
2.039517237468679411e+01 1.425728991708669402e-09 1.645939851708834205e-11
2.159260461329015968e+01 1.420031329259954010e-09 1.645793830136758752e-11
2.286033995792793405e+01 1.414344328354549737e-09 1.645647228170117488e-11
2.420250601311803962e+01 1.408667987148243756e-09 1.645500037337482989e-11
2.562347272144895882e+01 1.403002298788206586e-09 1.645352243136466906e-11
2.712786659162373937e+01 1.397347282395460480e-09 1.645203861452757866e-11
2.872058576185538925e+01 1.391702933710824960e-09 1.645054880813204706e-11
3.040681594765672813e+01 1.386069250562806782e-09 1.644905292052595833e-11
3.219204732595066076e+01 1.380446238786106791e-09 1.644755095472969785e-11
3.408209241047182303e+01 1.374833898365248228e-09 1.644604284318197076e-11
3.608310497666182926e+01 1.369232245092829939e-09 1.644452870758697859e-11
3.820160009767342046e+01 1.363641267397457696e-09 1.644300834154083755e-11
4.044447535672068739e+01 1.358060972649231346e-09 1.644148176551199296e-11
4.281903330483807224e+01 1.352491358413286442e-09 1.643994888074824347e-11
4.533300523717058894e+01 1.346932429468089665e-09 1.643840967486707983e-11
4.799457636520558168e+01 1.341384190750172192e-09 1.643686413827733638e-11
5.081241246690672853e+01 1.335846645059688463e-09 1.643531223497978651e-11
5.379568810151729963e+01 1.330319792228165775e-09 1.643375389096201516e-11
5.695411648089989143e+01 1.324803634523122287e-09 1.643218906235105412e-11
6.029798109466725009e+01 1.319298174289233914e-09 1.643061770495617502e-11
6.383816919207538376e+01 1.313803417763719165e-09 1.642903982462891815e-11
6.758620722968873906e+01 1.308319365370754397e-09 1.642745535117415511e-11
7.155429840023482768e+01 1.302846025091533406e-09 1.642586431172560396e-11
7.575536236483405617e+01 1.297383382933477014e-09 1.642426645453969223e-11
8.020307731797274187e+01 1.291931465360232107e-09 1.642266203855552667e-11
8.491192452217362074e+01 1.286490252622774911e-09 1.642105073758605850e-11
8.989723545736848109e+01 1.281059756931544241e-09 1.641943262937832953e-11
9.517524173848104851e+01 1.275639981248989026e-09 1.641780767426292247e-11
1.007631279637515576e+02 1.270230934094349100e-09 1.641617590334637460e-11
1.066790876658656089e+02 1.264832605575047057e-09 1.641453711251449626e-11
1.129423825480626391e+02 1.259445006285949465e-09 1.641289135573660895e-11
1.195734051980884658e+02 1.254068132376462537e-09 1.641123850437786530e-11
1.265937454841789958e+02 1.248701993833970365e-09 1.640957860824473902e-11
1.340262608492587901e+02 1.243346588682174479e-09 1.640791155914360541e-11
1.418951507322172461e+02 1.238001927569402748e-09 1.640623741533991652e-11
1.502260353585775476e+02 1.232668001809835640e-09 1.640455598030892618e-11
1.590460391570839249e+02 1.227344821600762598e-09 1.640286730422879328e-11
1.683838790738106468e+02 1.222032391810004009e-09 1.640117136759620811e-11
1.782699580713247656e+02 1.216730698711790905e-09 1.639946790238788241e-11
1.887364641173351174e+02 1.211439764377310836e-09 1.639775711735802704e-11
1.998174749851128240e+02 1.206159583450895038e-09 1.639603885614883317e-11
2.115490692069134866e+02 1.200890157735144809e-09 1.639431305343754087e-11
2.239694435416404872e+02 1.195631494202109932e-09 1.639257971863100317e-11
2.371190373392238939e+02 1.190383593376136063e-09 1.639083876743789359e-11
2.510406642066184020e+02 1.185146450924368433e-09 1.638909005329441887e-11
2.657796514041234559e+02 1.179920084044542143e-09 1.638733371930161005e-11
2.813839874258703162e+02 1.174704481572176683e-09 1.638556952235941184e-11
2.979044782449967101e+02 1.169499657100304589e-09 1.638379755890404911e-11
3.153949127322096047e+02 1.164305607390748063e-09 1.638201769001567554e-11
3.339122377863380962e+02 1.159122333105877977e-09 1.638022983044565174e-11
3.535167437470627192e+02 1.153949842872286286e-09 1.637843400993280095e-11
3.742722606935250838e+02 1.148788136790674785e-09 1.637663013176037421e-11
3.962463662679219851e+02 1.143637225687376477e-09 1.637481825442571849e-11
4.195106057007573668e+02 1.138497092751736880e-09 1.637299804184598744e-11
4.441407247541064294e+02 1.133367757627153350e-09 1.637116967532629187e-11
4.702169163413529418e+02 1.128249217258956660e-09 1.636933301382116072e-11
4.978240816263408419e+02 1.123141483162146343e-09 1.636748812349128465e-11
5.270521064520770551e+02 1.118044546425514346e-09 1.636563477412134874e-11
5.579961539989770927e+02 1.112958415046242004e-09 1.636377298136899664e-11
5.907569746255469454e+02 1.107883091023826690e-09 1.636190267216730981e-11
6.254412339002756198e+02 1.102818573517019310e-09 1.636002372913819288e-11
6.621618598928071151e+02 1.097764874398556609e-09 1.635813622404052042e-11
7.010384108550991868e+02 1.092721989811987947e-09 1.635623999402887052e-11
7.421974644897246662e+02 1.087689929515244546e-09 1.635433508002208769e-11
7.857730300727222357e+02 1.082668686300865983e-09 1.635242126415835357e-11
