# f_hz  Omega_gw
4.228209867421460544e-17 6.233833932335902933e-23
4.472203601208413564e-17 6.210294421791457150e-23
4.730277275205052504e-17 6.186814677463376980e-23
5.003243388622858898e-17 6.163394623519689603e-23
5.291961326878711385e-17 6.140034185115119224e-23
5.597340067217521769e-17 6.116733284638328415e-23
5.920341040465944723e-17 6.093491840903619986e-23
6.261981157926895610e-17 6.070309765544173546e-23
6.623336012944510290e-17 6.047186997550675600e-23
7.005543267219108663e-17 6.024123455643837274e-23
7.409806232533373635e-17 6.001119064614359210e-23
7.837397659166181210e-17 5.978173748954294779e-23
8.289663742921209918e-17 5.955287441682558226e-23
8.768028363385793183e-17 5.932460069250098429e-23
9.273997566763360177e-17 5.909691540977380393e-23
9.809164307392926322e-17 5.886981781100300813e-23
1.037521346288342337e-16 5.864330701188027753e-23
1.097392713865217029e-16 5.841738232425947598e-23
1.160719027856783429e-16 5.819204289592483153e-23
1.227699659936205532e-16 5.796728795788181071e-23
1.298545486749311574e-16 5.774311678196590051e-23
1.373479553822330624e-16 5.751952858373195197e-23
1.452737777781189786e-16 5.729652266987835758e-23
1.536569689093188361e-16 5.707409821119567415e-23
1.625239217669436920e-16 5.685225442315196600e-23
1.719025523801394403e-16 5.663099046494348948e-23
1.818223877047554579e-16 5.641030562000299427e-23
1.923146585837307885e-16 5.619019916873646140e-23
2.034123980718663458e-16 5.597067030542058970e-23
2.151505454345420387e-16 5.575171822126072288e-23
2.275660561477998040e-16 5.553334218122982365e-23
2.406980182461083995e-16 5.531554146336407641e-23
2.545877753841104930e-16 5.509831534621808209e-23
2.692790569997898885e-16 5.488166303215681054e-23
2.848181159888548010e-16 5.466558369512844326e-23
3.012538743237801556e-16 5.445007653164551637e-23
3.186380770759653112e-16 5.423514075085798837e-23
3.370254553259177407e-16 5.402077558765761590e-23
3.564738984743575442e-16 5.380698035459408493e-23
3.770446364967329746e-16 5.359375431410696801e-23
3.988024327149432951e-16 5.338109667484131355e-23
4.218157876931766413e-16 5.316900655701193989e-23
4.461571548997926318e-16 5.295748318183496117e-23
4.719031688142228996e-16 5.274652581340729706e-23
4.991348861970440582e-16 5.253613369817245174e-23
