# k  Ps  Pt
1.564337423082970196e-03 2.386050788733163431e-09 5.198506913709634581e-12
1.654609320819551291e-03 2.381821311570917515e-09 5.198424886481919563e-12
1.750090462674900715e-03 2.377594493778436341e-09 5.198342912740583448e-12
1.851081454097328396e-03 2.373370045590083495e-09 5.198260336915789050e-12
1.957900247319724861e-03 2.369148316643495249e-09 5.198177945755441834e-12
2.070883142375799443e-03 2.364929151151839654e-09 5.198095373720743766e-12
2.190385845881117743e-03 2.360712441652268790e-09 5.198012384224340285e-12
2.316784590912321796e-03 2.356498480000433578e-09 5.197929628125280641e-12
2.450477321510272782e-03 2.352286924032286574e-09 5.197846327867665961e-12
2.591884945536316806e-03 2.348077937816094235e-09 5.197762857062019631e-12
2.741452659826067607e-03 2.343871746361229004e-09 5.197679712744697593e-12
2.899651351812720934e-03 2.339668124006239966e-09 5.197596381977978431e-12
3.066979082032657202e-03 2.335466862225816132e-09 5.197512392775363238e-12
3.243962652180746448e-03 2.331268282271430254e-09 5.197428463793955562e-12
3.431159263652092378e-03 2.327072452995025230e-09 5.197344749372886490e-12
3.629158271791845056e-03 2.322879023233845983e-09 5.197260451577086751e-12
3.838583041376025448e-03 2.318688288567764910e-09 5.197176241997506323e-12
4.060092909165011026e-03 2.314500102735673074e-09 5.197091771756079796e-12
4.294385259708442641e-03 2.310314493377710969e-09 5.197007098870771467e-12
4.542197720936841897e-03 2.306131460614622562e-09 5.196922234548137031e-12
4.804310486452384454e-03 2.301951115702249044e-09 5.196837415886204412e-12
5.081548771830163118e-03 2.297773299041081605e-09 5.196752288535699752e-12
5.374785412663098984e-03 2.293598205937766582e-09 5.196667277191144040e-12
5.684943612530097418e-03 2.289425567825176668e-09 5.196581777662892979e-12
6.012999849538836622e-03 2.285255641320684467e-09 5.196496361958592762e-12
6.359986950593989573e-03 2.281088162680296900e-09 5.196410429696237463e-12
6.726997343069629313e-03 2.276923506087527679e-09 5.196324832045314750e-12
7.115186494123153758e-03 2.272761322419393695e-09 5.196238765131323903e-12
7.525776548478788075e-03 2.268601693094293334e-09 5.196152406544015657e-12
7.960060176133590057e-03 2.264444846555476398e-09 5.196066288674666717e-12
8.419404642099776251e-03 2.260290546684968258e-09 5.195979854198381607e-12
8.905256110996212504e-03 2.256138733629852943e-09 5.195892958961736627e-12
9.419144200041359299e-03 2.251989711503057428e-09 5.195806315289695841e-12
9.962686794781898392e-03 2.247843158857595310e-09 5.195719156225985222e-12
1.053759514271856816e-02 2.243699338926046567e-09 5.195632100835155298e-12
1.114567924086555355e-02 2.239558192564731051e-09 5.195545012841616262e-12
1.178885353420519935e-02 2.235419508536189144e-09 5.195457369667124845e-12
1.246914294297865600e-02 2.231283441760835286e-09 5.195369558893233283e-12
1.318868923778827862e-02 2.227150131514225732e-09 5.195281894703881554e-12
1.394975778258267587e-02 2.223019420246987800e-09 5.195193993456710636e-12
1.475474466675350330e-02 2.218891342482945304e-09 5.195105942579287750e-12
1.560618424879813525e-02 2.214765848184814717e-09 5.195017604534209147e-12
1.650675713529810296e-02 2.210642984787126816e-09 5.194929103905515333e-12
1.745929862033369917e-02 2.206522801743128882e-09 5.194840541747049009e-12
1.846680761190476125e-02 2.202405233949214703e-09 5.194751764503434333e-12
1.953245607346085211e-02 2.198290298227163306e-09 5.194662813363431166e-12
2.065959901026586526e-02 2.194178012658761140e-09 5.194573713096465350e-12
2.185178503203731928e-02 2.190068225473816003e-09 5.194484108287052259e-12
2.311276752511497168e-02 2.185961344497081490e-09 5.194394965292088058e-12
2.444651646933228978e-02 2.181857073394671197e-09 5.194305577106562628e-12
2.585723093679419271e-02 2.177755288343856245e-09 5.194215632322791617e-12
2.734935231191112925e-02 2.173656180209950496e-09 5.194125585641891507e-12
2.892757827431056625e-02 2.169559807397034132e-09 5.194035582884596964e-12
3.059687758864846133e-02 2.165465906737981974e-09 5.193944973239579139e-12
3.236250574788394896e-02 2.161374911669282846e-09 5.193854809332276785e-12
3.423002151926721193e-02 2.157286421848780803e-09 5.193764109254742483e-12
3.620530444513273688e-02 2.153200648866017446e-09 5.193673389342872737e-12
3.829457335359601894e-02 2.149117509094559820e-09 5.193582426729071180e-12
4.050440593743140361e-02 2.145036844654966191e-09 5.193490863416959204e-12
4.284175946277173075e-02 2.140959192131595560e-09 5.193399975727099079e-12
4.531399267282734677e-02 2.136884016534511404e-09 5.193308444440820133e-12
4.792888895558456569e-02 2.132811483016303119e-09 5.193216706223323300e-12
5.069468084842290029e-02 2.128741481799514268e-09 5.193124457812735561e-12
5.362007595679954552e-02 2.124674438105745017e-09 5.193032743585046035e-12
5.671428436860150718e-02 2.120609966671942877e-09 5.192940621398554004e-12
5.998704765047451620e-02 2.116547989807129643e-09 5.192847879846632576e-12
