# f_hz  Omega_gw
1.544691577108326857e-18 8.301331651389501577e-23
1.633828903472951654e-18 8.269733398607273204e-23
1.728109951127434566e-18 8.238225373251858085e-23
1.827831541502106310e-18 8.206807434566533404e-23
1.933307624280670446e-18 8.175479422556569806e-23
2.044870265796027197e-18 8.144241147944683890e-23
2.162870694462050535e-18 8.113092412717010259e-23
2.287680406532634986e-18 8.082033008570160640e-23
2.419692335669192142e-18 8.051062704591740977e-23
2.559322089998719760e-18 8.020181273518505456e-23
2.707009260557047807e-18 7.989388496389510922e-23
2.863218805236541327e-18 7.958684033840995906e-23
3.028442512595310334e-18 7.928067642228395601e-23
3.203200550136406674e-18 7.897539020053382812e-23
3.388043101931351657e-18 7.867097848873778535e-23
3.583552100743670794e-18 7.836743770040412949e-23
3.790343060105666980e-18 7.806476413423895162e-23
4.009067012116213675e-18 7.776295400841221558e-23
4.240412557060292451e-18 7.746200321458129800e-23
4.485108031303063895e-18 7.716190744867277523e-23
4.743923800283484963e-18 7.686266191106511303e-23
5.017674683826449460e-18 7.656426163440904997e-23
5.307222521409038968e-18 7.626670126603857375e-23
5.613478885456887796e-18 7.596997472225090915e-23
5.937407951212913910e-18 7.567407536590011046e-23
6.280029532213527129e-18 7.537899616069590599e-23
6.642422290928721210e-18 7.508472967557288121e-23
7.025727134674011934e-18 7.479126757536890101e-23
7.431150807485506684e-18 7.449860069817058091e-23
7.859969689266164652e-18 7.420671912717571180e-23
8.313533814163989086e-18 7.391561211738250859e-23
8.793271120833146258e-18 7.362526785289223877e-23
9.300691947958808518e-18 7.333567328398775072e-23
9.837393789198864409e-18 7.304681432993497832e-23
1.040506632251239343e-17 7.275867557017375716e-23
1.100549672970838685e-17 7.247124004999289191e-23
1.164057532296210840e-17 7.218448913807136126e-23
1.231230149601296795e-17 7.189840210288124082e-23
1.302279001877962427e-17 7.161295645620081858e-23
1.377427769520949985e-17 7.132812748707779900e-23
1.456913040532352600e-17 7.104388806499919213e-23
1.540985055362602193e-17 7.076020842531476456e-23
1.629908494732941771e-17 7.047705593342585492e-23
1.723963312919663730e-17 7.019439504326417457e-23
1.823445619123488972e-17 6.991218668379621593e-23
1.928668609698882271e-17 6.963038813883384523e-23
2.039963554178197554e-17 6.934895262353340440e-23
2.157680838194934477e-17 6.906782914582187768e-23
2.282191066589476646e-17 6.878696182407732839e-23
2.413886230170181335e-17 6.850628960051211974e-23
2.553180939803121922e-17 6.822574571145834391e-23
2.700513731715675384e-17 6.794525718878701826e-23
2.856348448123409575e-17 6.766474424777649043e-23
3.021175697526875064e-17 6.738411943534302505e-23
3.195514399275649160e-17 6.710328709435346376e-23
3.379913417262342692e-17 6.682214225496266529e-23
3.574953287889901346e-17 6.654056979668858272e-23
3.781248047752238760e-17 6.625844364260577264e-23
3.999447166782234768e-17 6.597562688404744297e-23
4.230237592953207542e-17 6.569197274137609459e-23
4.474345914971033612e-17 6.540732787953162393e-23
4.732540649765674724e-17 6.512154104754624884e-23
5.005634661983773711e-17 6.483447943787941726e-23
5.294487723099446270e-17 6.454606055660338911e-23
5.600009218200031419e-17 6.425630990205441528e-23
5.923161008968550666e-17 6.396546296314315866e-23
6.264960461876187984e-17 6.367414149569846934e-23
6.626483651118363207e-17 6.338365296242718623e-23
7.008868746378170535e-17 6.309649459253513954e-23
7.413319596082603770e-17 6.281718823755350045e-23
7.841109517432672412e-17 6.255365902789060004e-23
8.293585305139480806e-17 6.231948669488581045e-23
8.772171471486685235e-17 6.213755571674038177e-23
9.278374731068210131e-17 6.204597024535091982e-23
9.813788744320460469e-17 6.210755413669476050e-23
1.038009913478272813e-16 6.242508289649833949e-23
1.097908879588152885e-16 6.316554336128570810e-23
1.161264350394611660e-16 6.459886800705563966e-23
1.228275785512621323e-16 6.715928009875941611e-23
1.299154154490305343e-16 7.154224138019864994e-23
1.374122600996335127e-16 7.885763624070451434e-23
1.453417145334638622e-16 9.087136688431874548e-23
1.537287427498124432e-16 1.103853468598940924e-22
1.625997493100770830e-16 1.418326178634865811e-22
1.719826624662368025e-16 1.922117830534485700e-22
1.819070220863029020e-16 2.725459783305656382e-22
1.924040726535610314e-16 4.001592241080868793e-22
2.035068616323871111e-16 6.022396066140935615e-22
2.152503435103196361e-16 9.213763146989186048e-22
2.276714898439423960e-16 1.424160695197018601e-21
2.408094056550267290e-16 2.214542858471250193e-21
2.547054525433812180e-16 3.454528496298948135e-21
2.694033789040016552e-16 5.396220822551757663e-21
2.849494576584759679e-16 8.431477369376665574e-21
3.013926319342590557e-16 1.316807483436479913e-20
3.187846691504581611e-16 2.054718156081671380e-20
3.371803239952254284e-16 3.202466820630436812e-20
3.566375108078551648e-16 4.984735917896563453e-20
3.772174859082942030e-16 7.747922189307805010e-20
3.989850404480789170e-16 1.202478026564977658e-19
4.220087043898480531e-16 1.863327713394072009e-19
4.463609622576156275e-16 2.882716083769233094e-19
4.721184813370347725e-16 4.452320803592576644e-19
4.993623530440916283e-16 6.864501005695354679e-19
5.281783482221223235e-16 1.056426293098875248e-18
5.586571871708907837e-16 1.622684544006960835e-18
