# k  Ps  Pt
1.322684518626149591e-03 2.484550335710278910e-09 8.346606336089487440e-12
1.399010798487742950e-03 2.479804929099227504e-09 8.346402846889826835e-12
1.479741530745559393e-03 2.475064105983506496e-09 8.346198840004559769e-12
1.565130876888222488e-03 2.470327912675644819e-09 8.345994463697558623e-12
1.655447664940957108e-03 2.465596338053741292e-09 8.345789660388023246e-12
1.750976235806628572e-03 2.460869367243476328e-09 8.345584394756663034e-12
1.852017338445369459e-03 2.456147082264172692e-09 8.345378935152176191e-12
1.958889076711067302e-03 2.451429305599078308e-09 8.345172695961318949e-12
2.071927910825618804e-03 2.446716134611219170e-09 8.344966005461672694e-12
2.191489716643823735e-03 2.442007952335334041e-09 8.344760198800240955e-12
2.317950906043771304e-03 2.437303964692063025e-09 8.344552539638783993e-12
2.451709611970030473e-03 2.432604720032585944e-09 8.344344924126263398e-12
2.593186941860422482e-03 2.427910256711150631e-09 8.344137524287409965e-12
2.742828303402517626e-03 2.423220136815987472e-09 8.343928816437705753e-12
2.901104806793702428e-03 2.418534740337037163e-09 8.343720143587984274e-12
3.068514747919459489e-03 2.413853784668727090e-09 8.343510553146271299e-12
3.245585177119307552e-03 2.409177523899833846e-09 8.343300953398724734e-12
3.432873558479326501e-03 2.404505859993343436e-09 8.343091036824017279e-12
3.630969524875089088e-03 2.399838779149048906e-09 8.342880782487983159e-12
3.840496734290370796e-03 2.395176188613398153e-09 8.342669916338242426e-12
4.062114833255838810e-03 2.390518179622891555e-09 8.342458804988583791e-12
4.296521533589081968e-03 2.385864812663789158e-09 8.342247717104305609e-12
4.544454808974134064e-03 2.381215881806352791e-09 8.342035991308534997e-12
4.806695218295928794e-03 2.376571286941468616e-09 8.341823341501951503e-12
5.084068363044091064e-03 2.371931037569937518e-09 8.341609890302823525e-12
5.377447486522631687e-03 2.367295588640159207e-09 8.341397335863072230e-12
5.687756223048606903e-03 2.362664472882307583e-09 8.341184130907807708e-12
6.015971505794830664e-03 2.358037398561902928e-09 8.340969345696989671e-12
6.363126642431347901e-03 2.353414984217469170e-09 8.340755339301251043e-12
6.730314568248636775e-03 2.348796726470861325e-09 8.340540453978673092e-12
7.118691287004130439e-03 2.344182530907607761e-09 8.340324534895622591e-12
7.529479510324778475e-03 2.339572873990534944e-09 8.340109476045955135e-12
7.963972507123523448e-03 2.334966968567911510e-09 8.339892678389896665e-12
8.423538175148527138e-03 2.330365458648562788e-09 8.339676696410449304e-12
8.909623347483505706e-03 2.325767744696988964e-09 8.339459668221587191e-12
9.423758347557261578e-03 2.321174065303131474e-09 8.339242767617284092e-12
9.967561807002601679e-03 2.316584042936741069e-09 8.339024962595478959e-12
1.054274576153261048e-02 2.311997601842186995e-09 8.338806381251642466e-12
1.115112104087751486e-02 2.307414805084736587e-09 8.338587705785226281e-12
1.179460296975089889e-02 2.302835514290971652e-09 8.338368955247169266e-12
1.247521739779354662e-02 2.298259311662369481e-09 8.338149140315960575e-12
1.319510707747863741e-02 2.293686150312652951e-09 8.337928715102355302e-12
1.395653841005779078e-02 2.289116116774595043e-09 8.337708733646790456e-12
1.476190858078574655e-02 2.284548641938571877e-09 8.337487891358571216e-12
1.561375310588732947e-02 2.279983493708312989e-09 8.337266231162089969e-12
1.651475381502666082e-02 2.275420717234029098e-09 8.337044915979239791e-12
1.746774729440928389e-02 2.270859688198117129e-09 8.336822784646078664e-12
1.847573381709837967e-02 2.266300169486739035e-09 8.336600206303918361e-12
1.954188678866025305e-02 2.261741779816907870e-09 8.336377151598960761e-12
2.066956273787612375e-02 2.257184197923961072e-09 8.336154061574176181e-12
2.186231188397375416e-02 2.252626554346334545e-09 8.335929398949404347e-12
2.312388931364748462e-02 2.248069015181891981e-09 8.335705861015271653e-12
2.445826680305458398e-02 2.243510138786913620e-09 8.335480181173148383e-12
2.586964532200669228e-02 2.238949940500508531e-09 8.335254973583796205e-12
2.736246825972320565e-02 2.234387618986839739e-09 8.335029982000697574e-12
2.894143541378417506e-02 2.229821910927716235e-09 8.334803604867705112e-12
3.061151778632389617e-02 2.225252101033188073e-09 8.334576676755727922e-12
3.237797323404769528e-02 2.220677441009781145e-09 8.334350207437265745e-12
3.424636302134182603e-02 2.216096376726071902e-09 8.334122736652677055e-12
3.622256932859010958e-02 2.211507658814920118e-09 8.333894360810636109e-12
3.831281377081856288e-02 2.206910123215066476e-09 8.333666268551960156e-12
4.052367698496887188e-02 2.202302009021610973e-09 8.333437826767192253e-12
4.286211934746677471e-02 2.197681203880213857e-09 8.333207824629199880e-12
4.533550288731028749e-02 2.193046246541700583e-09 8.332978432402862385e-12
4.795161446366496411e-02 2.188394586631394330e-09 8.332748453647553406e-12
5.071869028093578535e-02 2.183723549973049502e-09 8.332517217406294705e-12
5.364544181849599525e-02 2.179030869074092507e-09 8.332286866457177159e-12
5.674108325670559200e-02 2.174312906465343555e-09 8.332055189124218802e-12
6.001536048556409958e-02 2.169566365856353851e-09 8.331822952291625552e-12
